HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5594 ,FULMAR A ,TALISMAN ENERGY (UK) LIMITED,12/01/2009 ,45.0,Gas,Significant
5595 ,BRENT DELTA ,SHELL U.K. NORTHERN OPS,13/01/2009 ,94.8,Gas,Significant
5596 ,ELGIN PUQ ,TOTAL E&P UK LTD,11/01/2009 ,4600.0,Non-Process,Significant
5598 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,13/01/2009 ,84.0,Oil,Significant
5602 ,NELSON ,SHELL U.K. (CENTRAL),14/01/2009 ,410.0,Condensate,Significant
5603 ,DOUGLAS DD ,BHP BILLITON,02/01/2009 ,0.7,Gas,Minor
5604 ,FORTIES ALPHA ,APACHE NORTH SEA LIMITED,16/01/2009 ,84.0,Condensate,Significant
5606 ,PETROJARL FOINAVEN ,TEEKAY PETROJARL PRODUCTION AS,26/01/2009 ,5.0,Gas,Significant
5607 ,LEMAN 49_27 AX ,PERENCO UK LIMITED,16/01/2009 ,7.2,Gas,Significant
5608 ,THAMES AP ,PERENCO UK LIMITED,19/01/2009 ,160.0,Condensate,Significant
5609 ,MURCHISON ,CNR (CANADIAN NATIONAL RESOURCE),26/01/2009 ,1.0,Gas,Minor
5610 ,ENSCO 70 ,ADTI now under ENSCO,14/01/2009 ,0.1,Gas,Minor
5614 ,AUDREY A (WD) ,VENTURE PRODUCTION LIMITED,07/02/2009 ,1.6,Gas,Minor
5616 ,PETROJARL FOINAVEN ,TEEKAY PETROJARL PRODUCTION AS,17/02/2009 ,0.2,Gas,Minor
5617 ,LENNOX ,BHP BILLITON,22/01/2009 ,6.0,Condensate,Minor
5618 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,20/01/2009 ,4.5,Non-Process,Minor
5620 ,Buzzard P Platform ,NEXEN PETROLEUM UK LTD,28/01/2009 ,63.0,Gas,Significant
5621 ,ENSCO 70 ,ADTI - now under ENSCO,23/01/2009 ,18.5,Gas,Significant
5624 ,MURCHISON ,CNR (CANADIAN NATIONAL RESOURCE),28/02/2009 ,0.8,Gas,Minor
5625 ,DUNLIN ALPHA ,AMEC NATURAL RESOURCES ,10/02/2009 ,2640.0,Non-Process,Minor
5626 ,INDE 49/23-AT ,PERENCO UK LIMITED,19/02/2009 ,0.3,Gas,Minor
5628 ,ALWYN NORTH A ,TOTAL E&P UK LTD,11/03/2009 ,1.2,Condensate,Minor
5630 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,13/02/2009 ,32.0,Oil,Minor
5631 ,PETROJARL FOINAVEN ,TEEKAY PETROJARL PRODUCTION AS,07/03/2009 ,17.0,Gas,Significant
5633 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,13/03/2009 ,25.0,Non-Process,Minor
5635 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,17/02/2009 ,0.8,Non-Process,Minor
5636 ,GLOBAL PRODUCER III ,MAERSK OIL NORTH SEA (UK) LTD,11/03/2009 ,24.0,Non-Process,Minor
5637 ,SEAN PP 49/25A ,SHELL U.K. SOUTHERN OPS,20/03/2009 ,1080.0,Non-Process,Minor
5639 ,GANNET ,SHELL U.K. (CENTRAL),03/03/2009 ,23.4,2-Phase,Minor
5642 ,SEAN PP 49/25A ,SHELL U.K. SOUTHERN OPS,11/03/2009 ,1.2,Gas,Minor
