"","user_id","screen_name","name","location","description","followers_count","friends_count","statuses_count","favourites_count","account_created_at","verified"
"1","625906232","SSSuisi","Suisi",NA,"",4,163,453,817,2012-07-03 21:32:54,FALSE
"2","321603690","bjeaglefeather","Bradley Jon Eaglefeather","Cape Town","Collaborative Director, Transmedia Producer, DJ, Nanotechnologist, Autistic with a G.. the Organic Intellectual @theeaglesvision #CocreatoratOhana aloha!",7945,7742,133915,42648,2011-06-21 20:55:13,FALSE
"3","974218814194843648","Sarkar_Lab","Prof. Anwesha Sarkar","Leeds, UK","Professor of Colloids & Surfaces @UniversityLeeds. Passionate about Colloids, Lubrication, Sensory-satiety. PI of ERC StG -LubSat, ERC PoC - AquaLub! Own views!",666,139,2179,5912,2018-03-15 09:40:40,FALSE
"4","1134176840803921920","FastenerEng","Fastener Engineering",NA,"Fastener Engineering serves readers in the mechanical design engineering space. We provide news, product developments, application stories & technical articles.",244,102,1099,136,2019-05-30 19:16:45,FALSE
"5","2273840826","3Dprint_Seattle","Mike <U+0001F579><U+0001F440><U+24B6>","Seattle area","Living with #Autism. A #Ancap #technologist and culture addict. With expertise in #3dprinting and #computers. 

#MBA #BFA #tech #VR #anime #movies #animation",5334,4685,106056,169234,2014-01-03 02:27:08,FALSE
"6","1268114682872762368","JohnPaynter1970","John Paynter",NA,"Ex smoker, Ex RAF, Socialist, Retrogaming old school. Everybody needs a hobby.",340,444,13883,15410,2020-06-03 09:38:04,FALSE
"7","1092351488","ACTGroup_CT","ACT Group","Cromwell, CT","ACT Group: ACT Office Equipment, ACT 3D, ACT MPS, ACT Document Solutions, & ACT Customer Support.",140,88,1819,47,2013-01-15 15:08:32,FALSE
"8","936599566207549440","laminahmed11","Technology News 10k",NA,"#IFB #FOLLOWBACK #AI #MachineLearning #DeepLearning #DataScience #CloudComputing #Fintech #DigitalMarketing #BigData #Analytics #B2B #Amazon #Product",8692,9563,27985,26552,2017-12-01 14:15:12,FALSE
"9","399513766","Lazy_Miko","Saber Tank",NA,"Freelance Zombie",141,1499,56043,182143,2011-10-27 16:21:19,FALSE
"10","58841484","DW_3DPrinting","Leslie Langnau","Ohio","Managing Editor of the Design World network, and site editor for Make Parts Fast, http://t.co/TWW2LpVSye, http://t.co/1QwgsZffqi",4656,2194,8906,23,2009-07-21 16:28:27,FALSE
"11","564990876","t3chl0gic","Mark Simmons","Sabine Pass ISD","Proud Father|Lucky Husband|Humbled Educator",902,625,6776,3686,2012-04-27 20:53:27,FALSE
"12","1171902693603827713","JawsTec3D","Jawstec","American Falls, Idaho","Welcome to JawsTec, your #1 Nylon 3D Printing provider.",41,55,254,37,2019-09-11 21:45:59,FALSE
"13","913128578081947649","HospitalityTek","Ken Torres","Las Vegas, NV","#Hospitality I #Marketing I #Technology I #LasVegas I #HorsePlayer I #AtléticodeMadrid I #Blogger I #BongoPlayer I #Influencer I #Music I #Creator 
<U+0001F1F5><U+0001F1F7> <U+0001F1FA><U+0001F1F8>",6300,5319,35244,17554,2017-09-27 19:49:52,FALSE
"14","2557664844","Kurai1321","Kurai who finally lost",NA,"I'm Yokina Too. also I RT Lewds
I lost to the vtubers finally",136,458,104031,42804,2014-06-09 22:46:25,FALSE
"15","14443044","josefprusa","Josef Prusa","Prague","Hi! I am Jo and I make 3D printers <U+0001F643>",48244,1290,9581,6540,2008-04-19 13:09:48,FALSE
"16","525554983","geoffwilbur","Geoff Wilbur","Boston, MA","Research Manager, Print Forecasts, IDC. Longtime tech industry analyst. Music journalist (https://t.co/9GSELvjLYq). Spartan. Tweets: ~90% print/tech, ~10% music.",7451,7636,8745,24288,2012-03-15 17:09:22,FALSE
"17","1720483766","Xometry","Xometry","Gaithersburg, MD","Custom Manufacturing on Demand. The most efficient way to get custom parts your way. Professional #3dprinting #CNCmachining #injectionmolding",1960,1548,4365,2659,2013-09-01 22:53:57,FALSE
"18","734107272","OneManIndie2020","Al Baker (One-Man Indie)","In a world all my own!","Owner of One-Man Indie L.L.C. - The place where Indie Dream COME TRUE!!",87,257,3009,2127,2012-08-03 03:52:41,FALSE
"19","4776051857","Innovatoolsinc","Innovatools Inc","Ottawa, Ontario","Improving products in all aspects by developing innovative solutions to everyday challenges",397,594,478,41,2016-01-11 17:04:58,FALSE
"20","4103070635","KMT82design","Kit","Kerkrade","My own #DIY #3Dprinted #actionfigure Printed with a #3dprinter. #3D #toys #Graphicdesigner #design #3dprinting",1028,607,6712,9358,2015-11-03 07:41:31,FALSE
"21","380487157","kalydeoo","Eric Gaubert","Paris","Innovation CMO - (Re)Insurance - Fintech - Artificial Intelligence (AI) - Environment - RSE - Runner - BZH - My opinions only",13020,7446,67125,7973,2011-09-26 18:44:46,FALSE
"22","546538830","DGaylord3D","Dave Gaylord","SoCal","Mechanical/Biomedical Engineer | Eagle Scout | GirlDad | Surfer | spend most of my day 3D printing @MatterHackers",2384,370,13754,35372,2012-04-06 02:39:19,FALSE
